time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T01:53:34.442Z,55.9802,-149.7502,0.7,3.1,ml,,,,0.67,ak,ak0198hzc847,2019-07-04T01:58:08.497Z,"258km SE of Kodiak, Alaska",earthquake,,206.5,,,automatic,ak,ak
2019-07-04T00:12:12.416Z,-19.336,-69.4402,106.45,4.3,mb,,100,0.404,1.03,us,us700049pz,2019-07-04T00:27:53.040Z,"122km NE of Iquique, Chile",earthquake,3.5,6,0.133,16,reviewed,us,us
2019-07-04T00:01:54.595Z,-31.8427,-69.5458,117.86,4.4,mb,,68,0.791,0.88,us,us700049pt,2019-07-04T00:56:35.040Z,"58km SSW of Calingasta, Argentina",earthquake,5.6,4.6,0.19,8,reviewed,us,us
2019-07-03T22:57:58.395Z,-23.7023,179.9458,569.13,4.5,mb,,124,12.553,0.63,us,us700049p8,2019-07-03T23:14:29.040Z,"South of the Fiji Islands",earthquake,14,8.5,0.082,44,reviewed,us,us
2019-07-03T22:47:02.491Z,69.2181,-144.628,14,2.8,ml,,,,0.89,ak,ak0198go9gx9,2019-07-04T01:07:29.040Z,"109km SSW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-07-03T22:42:35.434Z,44.5362,-128.7848,10,3.7,mb,,207,3.498,0.78,us,us700049ns,2019-07-03T23:19:18.040Z,"Off the coast of Oregon",earthquake,6.3,2,0.19,7,reviewed,us,us
2019-07-03T22:34:45.015Z,60.3011,-151.3211,46.8,2.9,ml,,,,0.62,ak,ak0198go6ryi,2019-07-04T00:01:18.791Z,"7km S of Cohoe, Alaska",earthquake,,1,,,automatic,ak,ak
2019-07-03T22:32:31.692Z,44.4873,-128.9323,10,4.1,mb,,216,3.592,0.76,us,us700049nv,2019-07-03T23:44:19.040Z,"Off the coast of Oregon",earthquake,5.7,2,0.157,11,reviewed,us,us
2019-07-03T22:29:26.084Z,60.33,-151.3099,59.4,4.7,ml,,,,0.86,ak,ak0198go5nyc,2019-07-04T01:52:31.417Z,"4km S of Cohoe, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-03T20:11:33.567Z,69.1528,-147.8031,35,2.8,ml,,,,0.96,ak,ak0198gmuyo7,2019-07-03T20:23:55.900Z,"124km S of Prudhoe Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-03T20:11:13.667Z,69.1437,-144.644,13.1,3.4,ml,,,,0.61,ak,ak0198gmuwzo,2019-07-04T01:54:46.188Z,"117km SSW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2019-07-03T19:32:29.341Z,32.8994,91.956,38.63,4.2,mb,,133,3.264,0.68,us,us700049k6,2019-07-03T20:42:38.040Z,"68km NNE of Pagnag, China",earthquake,12.1,8.9,0.112,22,reviewed,us,us
2019-07-03T19:06:03.899Z,56.1595,163.9419,10,4.9,mb,,113,4.398,0.77,us,us700049jc,2019-07-03T20:32:01.040Z,"91km E of Ust'-Kamchatsk Staryy, Russia",earthquake,9.7,1.8,0.027,444,reviewed,us,us
2019-07-03T18:40:29.670Z,46.867,-112.5251667,13.23,2.87,ml,18,102,0.126,0.13,mb,mb80350679,2019-07-03T19:43:30.230Z,"15km SE of Lincoln, Montana",earthquake,0.33,0.74,0.211,26,reviewed,mb,mb
2019-07-03T18:23:22.458Z,-22.2589,-179.4504,574.55,4.5,mb,,70,5.067,1.19,us,us700049ja,2019-07-03T20:48:13.040Z,"194km SSW of Ndoi Island, Fiji",earthquake,14.1,8.4,0.091,35,reviewed,us,us
2019-07-03T17:47:21.810Z,18.5878,-64.5295,106,3.18,md,4,345,1.3925,0.19,pr,pr2019184009,2019-07-03T18:54:03.359Z,"21km NNE of Road Town, British Virgin Islands",earthquake,7.75,8.98,0.18,4,reviewed,pr,pr
2019-07-03T17:41:14.498Z,61.1594,-152.5817,9.9,2.6,ml,,,,0.73,ak,ak0198gl91fd,2019-07-03T21:47:51.130Z,"93km N of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-03T17:15:54.242Z,69.1847,-144.6349,1.3,2.6,ml,,,,0.85,ak,ak0198gl3k3c,2019-07-03T17:22:27.747Z,"112km SSW of Kaktovik, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-07-03T15:31:44.691Z,69.1349,-144.6641,11.3,2.5,ml,,,,0.64,ak,ak0198gk03lk,2019-07-03T21:01:38.040Z,"117km NNE of Arctic Village, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-03T15:15:19.694Z,44.3876,-129.1115,10,4.1,mb,,220,3.703,0.86,us,us700049b3,2019-07-03T20:54:52.040Z,"Off the coast of Oregon",earthquake,11.2,2,0.123,18,reviewed,us,us
2019-07-03T14:56:01.286Z,60.0476,-139.7184,7.6,2.5,ml,,,,1,ak,ak0198gjju9u,2019-07-03T19:01:49.335Z,"55km N of Yakutat, Alaska",ice quake,,0.2,,,automatic,ak,ak
2019-07-03T13:17:24.430Z,41.3181667,-126.7893333,9.62,3.12,md,15,306,2.04,0.13,nc,nc73205546,2019-07-04T00:01:02.999Z,"221km WSW of Crescent City, CA",earthquake,1.25,31.61,0.186,23,reviewed,nc,nc
2019-07-03T12:37:52.493Z,62.1487,-147.9198,19.1,2.7,ml,,,,0.74,ak,ak0198gi93o7,2019-07-03T22:53:27.911Z,"62km NE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-03T12:20:06.315Z,69.1453,-144.6488,7.6,2.7,ml,,,,0.67,ak,ak0198gi5cy8,2019-07-03T18:52:54.519Z,"109km SSW of Kaktovik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-03T11:25:30.666Z,69.1333,-144.7122,0.8,2.6,ml,,,,0.86,ak,ak0198ghl1rb,2019-07-03T11:31:56.348Z,"117km NNE of Arctic Village, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-07-03T11:16:43.570Z,18.1761,-67.224,125,2.65,md,15,164,0.1382,0.1,pr,pr2019184006,2019-07-03T11:45:35.040Z,"10km W of Mayaguez, Puerto Rico",earthquake,1.08,0.55,0.27,11,reviewed,pr,pr
2019-07-03T10:49:02.794Z,69.0573,-144.4736,0,2.6,ml,,,,0.92,ak,ak0198gh4p82,2019-07-03T11:22:41.040Z,"116km SSW of Kaktovik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-07-03T10:36:03.931Z,55.2299,-134.5404,10,3.9,ml,,,,0.84,ak,ak0198gh1tla,2019-07-03T18:12:03.040Z,"92km WSW of Craig, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-07-03T10:13:26.896Z,15.6571,-90.9922,10,4.2,mb,,80,0.596,0.59,us,us70004970,2019-07-03T10:38:03.040Z,"18km SE of San Luis Ixcan, Guatemala",earthquake,5,2,0.084,39,reviewed,us,us
2019-07-03T09:47:39.771Z,54.0538,-162.5229,36.02,4.4,mb,,160,1.674,1.08,us,us7000496l,2019-07-03T18:37:07.321Z,"105km SSE of False Pass, Alaska",earthquake,7.4,9.1,0.07,60,reviewed,us,us
2019-07-03T09:39:50.090Z,19.5993,-65.389,53,3.43,md,13,328,1.4654,0.47,pr,pr2019184004,2019-07-03T11:07:01.040Z,"145km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.3,18.94,0.41,10,reviewed,pr,pr
2019-07-03T09:39:27.098Z,12.5578,-87.671,81.22,4.7,mb,,147,0.649,0.86,us,us7000496i,2019-07-03T17:42:03.353Z,"31km SW of Jiquilillo, Nicaragua",earthquake,5.2,6.8,0.027,407,reviewed,us,us
2019-07-03T09:07:40.838Z,69.2254,-144.5837,1,3.3,ml,,,,0.61,ak,ak0198ggac7v,2019-07-03T10:23:55.040Z,"107km SSW of Kaktovik, Alaska",earthquake,,7.4,,,automatic,ak,ak
2019-07-03T09:07:04.966Z,69.167,-144.6074,7.2,2.7,ml,,,,0.54,ak,ak0198gga9yt,2019-07-03T17:51:02.157Z,"116km SSW of Kaktovik, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-07-03T08:38:48.650Z,19.5653,-65.4086,34,3.72,md,17,317,1.4261,0.44,pr,pr2019184003,2019-07-03T10:49:39.268Z,"133km NNE of Vieques, Puerto Rico",earthquake,2.81,27.9,0.29,10,reviewed,pr,pr
2019-07-03T08:32:24.475Z,-56.1711,-26.7736,51.36,5,mb,,92,5.872,0.56,us,us70004956,2019-07-03T08:48:48.040Z,"64km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,6.8,8.3,0.091,39,reviewed,us,us
